bondLen1,bondLen2,bondAng,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,intgErr,sampNum
1.76951408,2.95807443,0.49920254,0.64807951,-1.3E-06,0.1426826,-0.00049949,0.0186314,4.24E-06,-5.33E-06,-0.02562812,0.0040331,-2.36E-06,0.04037422,0.00197675,-7.8E-06,2.89E-05,-0.05860695,-0.00934863,0.06403236,5.511E-05,3.997E-05,-0.09547957,-0.00482254,2.663E-05,-4.451E-05,0.12280144,0.01423428,2.11E-06,57
2.08866546,3.3308139,0.44063105,0.58716189,-3.55E-06,0.13896704,-0.00529363,-0.00901789,9.43E-06,-1.72E-06,0.02280842,0.00851554,-3.1E-07,0.08621624,0.00190514,2.41E-05,4.34E-06,-0.11426305,-0.00948154,0.06183616,8.832E-05,-0.00015449,-0.08905316,-0.00053555,-0.00018608,-8.607E-05,0.10327008,0.00160221,2.39E-06,58
1.96249394,3.22734627,0.4892676,0.6117297,2.78E-06,0.14443453,-0.00232919,0.00375826,-8.93E-06,4.1E-06,0.00077994,0.00622882,1.39E-06,0.07048601,0.00204205,-4.15E-06,-2.919E-05,-0.09584542,-0.01063982,0.07126112,-0.00011881,5.269E-05,-0.10403371,-0.00317378,7.423E-05,5.612E-05,0.12727612,0.01053017,1.01E-06,59
1.64521572,2.43982014,0.79845774,0.62019298,-6.8E-07,0.15896888,0.00229319,0.02532262,-5E-08,-7.5E-07,-0.03969928,-0.00447152,-7.37E-06,0.03499609,-0.00406663,-9E-07,1.56E-06,-0.04864857,0.00216347,0.06882919,-6E-07,2.582E-05,-0.09911835,0.00510387,2.562E-05,1.429E-05,0.12986183,0.01047325,2.35E-07,60
1.66978235,3.1897815,0.57214976,0.65318808,9.9E-07,0.14442398,0.00151173,0.02458593,-4.77E-06,6.48E-06,-0.03555379,0.00191882,5.31E-06,0.02800092,0.00154596,1.755E-05,-3.277E-05,-0.04358142,-0.00867071,0.05794308,-7.38E-05,-1.484E-05,-0.08703812,-0.00549091,-4.309E-05,7.969E-05,0.11429087,0.01819853,2.18E-07,61
1.84617121,3.26189043,0.6320519,0.61644556,-1.9E-06,0.15204636,0.0008263,0.01356887,6.23E-06,-1.25E-06,-0.01523139,0.00233148,-1.994E-05,0.05807936,0.00107423,-1.764E-05,9.38E-06,-0.08142313,-0.00911545,0.07461861,0.00014147,4.99E-06,-0.10987867,-0.0042731,4.839E-05,-1.202E-05,0.13783144,0.01750464,1.5E-06,62
1.83082667,2.79502071,0.8572017,0.59570602,3.92E-06,0.16248732,0.00240451,0.01346066,-1.439E-05,-4.93E-06,-0.01970572,-0.00457597,2.35E-05,0.06411289,-0.00466111,1.653E-05,1.811E-05,-0.08299427,-0.00212536,0.08252658,-0.00021128,1.419E-05,-0.1169862,0.00282212,2.409E-05,-1.068E-05,0.15149134,0.02574605,2.16E-06,63
1.66171657,3.35330872,0.56892701,0.65576783,4.5E-07,0.14368625,0.00184713,0.02504617,7E-07,-3.66E-06,-0.03641866,0.00185277,-2.5E-06,0.02643286,0.00166074,-9.28E-06,1.986E-05,-0.04147664,-0.00914039,0.05672523,3.418E-05,-2.101E-05,-0.08535871,-0.00605907,2.259E-05,-6.316E-05,0.11237352,0.01939664,2.32E-06,64
1.84642798,2.77049206,0.71888037,0.59631353,2.34E-06,0.15961418,0.00109561,0.0120732,-6.68E-06,-2.22E-06,-0.01411498,-0.00145871,1.023E-05,0.06539359,-0.00224661,5.11E-06,9.21E-06,-0.08882944,-0.00300062,0.08040366,-8.336E-05,1.222E-05,-0.11547092,0.00074333,6.81E-06,-3.02E-06,0.14595127,0.01516243,1.1E-06,65
1.73234571,2.78572256,0.61389216,0.63071781,-9.9E-07,0.15120555,0.00019662,0.02094352,4.09E-06,-2.57E-06,-0.02822849,0.00166889,-1.483E-05,0.04131287,0.00045305,-1.759E-05,1.293E-05,-0.0614968,-0.00567415,0.06778076,0.00011099,2.775E-05,-0.10091012,-0.00225107,8.834E-05,-1.221E-05,0.13023476,0.01160109,4.74E-06,66
1.8037754,2.82876515,0.80255378,0.60365504,-2.96E-06,0.16046497,0.00188763,0.01612355,1.031E-05,-1.3E-06,-0.02185508,-0.00288095,-2.086E-05,0.0579914,-0.00287805,-1.897E-05,6.8E-06,-0.07862571,-0.00243943,0.07992953,0.00015769,-3.749E-05,-0.11423864,0.00083329,3.813E-05,-2.501E-05,0.14725071,0.01949487,6.75E-07,67
