bondLen1,bondLen2,bondAng,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,mom13,mom14,mom15,mom16,mom17,mom18,mom19,mom20,mom21,mom22,mom23,mom24,mom25,intgErr,sampNum
2.04861805,1.55230123,2.12268844,-1.26159249,-5.97E-06,-0.1617314,-0.17090827,-0.3309706,1.62E-06,-5.019E-05,0.10607363,-0.33219722,0.00015205,-0.14210407,-0.20078837,0.00020124,1.475E-05,0.63252182,-0.00516548,1.72046479,-6.18E-05,0.00075948,-0.89186014,1.01665462,-5.753E-05,0.00064452,0.81552621,1.04345549,9.89E-06,41
1.59381026,1.92176797,1.88045305,-1.2391303,-1.87E-06,-0.12412699,-0.2474029,-0.37615263,-6.89E-06,-1.2E-07,0.1426542,-0.23269774,1.402E-05,-0.20255169,-0.30396428,-1.343E-05,5.99E-06,0.63151002,-0.20587715,1.77351011,3.921E-05,2.18E-06,-0.08463405,0.82141221,-1.762E-05,2.815E-05,1.93416157,1.51509163,1.26E-05,42
1.72698371,1.77646961,2.06513931,-1.28876104,6.8E-07,-0.12633499,-0.22747359,-0.31464579,3.28E-06,2.56E-06,0.15794571,-0.26733753,-9.83E-06,-0.1294467,-0.21867725,-7E-06,2.01E-06,0.61096587,-0.02282105,1.74689527,-9.6E-06,-2.725E-05,-0.56516065,1.1035695,1.464E-05,-2.974E-05,0.84825209,1.34151565,5.58E-06,43
2.15656676,2.11404236,1.76382544,-1.03938688,-4.3E-07,-0.18177378,-0.23244646,-0.43030226,-2.6E-07,-2.51E-06,0.05398924,-0.19096513,7.84E-06,-0.32793337,-0.38180083,8.93E-06,-6.13E-06,0.71182813,-0.37247039,1.94681478,2.866E-05,4.684E-05,-0.10588879,0.55953011,5.189E-05,6.17E-06,2.94601414,1.20758418,5.85E-06,44
1.70999089,1.5666132,2.08619671,-1.31517646,8.61E-06,-0.14304525,-0.17580797,-0.33914734,-4.13E-06,3.413E-05,0.11777799,-0.3141695,-9.574E-05,-0.11991148,-0.21678691,-6.72E-05,-4.952E-05,0.59284972,-0.02226345,1.62749335,4.575E-05,-0.00026957,-0.66061942,1.00089387,0.00017556,-0.00021762,0.79320553,1.1273803,3.84E-06,45
2.04299228,1.81307847,1.97171788,-1.19661789,-4.7E-07,-0.1577583,-0.23969867,-0.3428596,3.87E-06,-1.98E-06,0.11988667,-0.2614412,-5.2E-07,-0.21054482,-0.25730816,3.8E-06,1.012E-05,0.71114892,-0.12228326,1.88150159,-1.22E-05,6.1E-07,-0.49423835,0.97370217,-1.614E-05,-5.62E-06,1.58131814,1.58397088,4.35E-06,46
1.78414249,1.98089772,1.76640109,-1.18221221,-1.1E-07,-0.19748167,-0.249828,-0.37728128,-1.61E-06,2.78E-06,0.03846282,-0.19951407,-6.32E-06,-0.25488917,-0.34812953,-1.02E-05,7.19E-06,0.56841315,-0.32684254,1.8865207,-2.962E-05,-3.846E-05,-0.04743005,0.5735817,-3.56E-05,2.473E-05,2.77007585,1.16438656,3.75E-06,47
2.02481838,1.69043694,1.97412258,-1.22135799,-9.5E-07,-0.16809611,-0.2172044,-0.34912284,-1.01E-06,-8.03E-06,0.09272097,-0.27958734,2.038E-05,-0.20651208,-0.25233766,2.789E-05,-4.95E-06,0.68715732,-0.1240042,1.8258638,-4.74E-06,7.285E-05,-0.54460633,0.92202796,2.44E-06,5.827E-05,1.55791034,1.48620387,3.93E-06,48
1.97732039,1.56101984,1.57414495,-1.18285259,6E-07,-0.24950231,-0.18542272,-0.42762687,5.94E-06,1.766E-05,-0.0518174,-0.10977434,-0.00011228,-0.36347085,-0.32961941,-6.124E-05,9.137E-05,0.36560697,-0.31855978,1.73543007,-0.00053324,-0.00074732,-0.17095729,0.11292907,-0.00058384,0.00014725,3.14992615,-0.03451553,6.55E-05,49
2.08742383,2.11531831,1.97915815,-1.10191855,4.4E-07,-0.1543416,-0.22657525,-0.37853771,9.7E-07,5E-07,0.11105591,-0.2783498,-1.24E-06,-0.19685343,-0.31240723,-5E-08,-8.2E-07,0.81975189,-0.14716967,1.93473225,-4.21E-06,2.95E-06,-0.44471785,1.03262405,9.1E-06,-6.99E-06,1.60097719,1.69575522,4.65E-06,50
